DATE,10-Year Real Interest Rate,Bank Credit All Commercial Banks,CPI All Urban Consumers,CPI All Items,Continued Claims (Insured Unemployment),Federal Funds Rate,GDP,Households Owners Equity in Real Estate Level,M1,M2,Median CPI,Personal Savings Rate,Real GDP,Sticky Price Consumer Price Index less Food and Energy,Sticky Price Consumer Price Index,Unemployment Rate,NASDAQ Price,S&P 500 Price,Economic Health Index
6/11/2023,1.43981681,17329.09232,304.3606134,0.558211051,1743891.535,5.030629512,26465.865,30944.88048,17793.24946,20409.50272,6.312212948,5.1,20235.878,6.499201573,0.473736571,3.6,12214.76722,4091.247359,601356.6768
6/18/2023,1.43981681,17342.86052,304.3178921,0.558211051,1741940.804,5.044630115,26465.865,30941.63859,17691.82624,20325.00415,6.310564337,5.1,20235.878,6.501956557,0.473736571,3.6,12212.08495,4091.983095,600667.5576
6/25/2023,1.43981681,17356.75671,304.6100558,0.558211051,1743874.134,5.058118282,26465.865,30938.86983,17589.54431,20233.0277,6.309342227,5.1,20235.878,6.505709335,0.473736571,3.6,12251.70115,4092.525441,601103.5643
7/2/2023,1.43981681,17370.69272,305.3390443,0.558211051,1741187.284,5.070439716,26465.865,30936.03442,17485.415,20213.35171,6.311080888,5.1,20235.878,6.505487704,0.473736571,3.6,12240.2245,4092.837963,600258.0082
7/9/2023,1.43981681,17384.66373,305.2571813,0.558211051,1743595.843,5.082131787,26465.865,30932.75642,17380.81139,20221.53591,6.311755457,5.1,20235.878,6.512482226,0.473736571,3.6,12206.67758,4092.965316,600862.3469
7/16/2023,1.43981681,17398.65816,305.3280904,0.558211051,1741851.636,5.092928165,26465.865,30928.83886,17276.94212,20162.53261,6.311469745,5.1,20235.878,6.516026087,0.473736571,3.6,12229.44755,4092.973819,600271.9916
7/23/2023,1.43981681,17412.6674,305.3012969,0.558211051,1743588.901,5.103093969,26465.865,30924.28469,17173.7741,20061.01203,6.311610473,5.1,20235.878,6.520950653,0.473736571,3.6,12253.2351,4092.922675,600628.8331
7/30/2023,1.43981681,17426.68313,306.1276553,0.558211051,1741720.152,5.112533084,26465.865,30919.24577,17070.5532,20013.89139,6.311744671,5.1,20235.878,6.52120295,0.473736571,3.6,12223.19847,4092.855749,599974.1099
8/6/2023,1.43981681,17440.70389,306.2145685,0.558211051,1743360.618,5.121385662,26465.865,30913.94681,16966.90009,20024.41937,6.311633852,5.1,20235.878,6.526617253,0.473736571,3.6,12211.24809,4092.797864,600378.4951
8/13/2023,1.43981681,17454.72772,306.2763212,0.558211051,1741951.012,5.129628803,26465.865,30908.61395,16863.05417,19993.6009,6.311588838,5.1,20235.878,6.53002647,0.473736571,3.6,12243.99324,4092.758492,599915.1348
8/20/2023,1.43981681,17468.75342,306.163481,0.558211051,1743327.514,5.137343994,26465.865,30903.42536,16759.34818,19896.53513,6.311614637,5.1,20235.878,6.535593274,0.473736571,3.6,12243.74735,4092.73763,600154.688
8/27/2023,1.43981681,17482.7801,306.771976,0.558211051,1741995.411,5.144538526,26465.865,30898.48148,16655.82451,19822.7056,6.311604373,5.1,20235.878,6.536706677,0.473736571,3.6,12212.74804,4092.730758,599626.3514
9/3/2023,1.43981681,17496.80747,307.201228,0.558211051,1743195.294,5.15126524,26465.865,30893.80093,16552.32104,19821.90367,6.31159206,5.1,20235.878,6.541284317,0.473736571,3.6,12223.95438,4092.732255,599914.2157
9/10/2023,1.43981681,17510.83525,307.1679524,0.558211051,1742101.32,5.157542694,26465.865,30889.33697,16448.72361,19815.04686,6.311599334,5.1,20235.878,6.54426051,0.473736571,3.6,12249.4166,4092.737377,599557.5764
9/17/2023,1.43981681,17524.86328,307.1486891,0.558211051,1743142,5.163408819,26465.865,30885.00497,16345.06484,19735.06106,6.311602439,5.1,20235.878,6.549932638,0.473736571,3.6,12229.76502,4092.742972,599703.8752
9/24/2023,1.43981681,17538.89145,307.3878431,0.558211051,1742164.941,5.168885261,26465.865,30880.71119,16241.42697,19641.81962,6.311600152,5.1,20235.878,6.551872,0.473736571,3.6,12212.54878,4092.747416,599268.8473
10/1/2023,1.43981681,17552.91971,308.1171363,0.558211051,1743060.806,5.174001454,26465.865,30876.37662,16137.83477,19619.00069,6.311600828,5.1,20235.878,6.556168309,0.473736571,3.6,12237.29893,4092.750216,599461.2295
10/8/2023,1.43981681,17566.94802,308.0714689,0.558211051,1742230.496,5.178778721,26465.865,30871.95147,16034.25509,19626.11616,6.311601871,5.1,20235.878,6.558780667,0.473736571,3.6,12244.88216,4092.751543,599178.5145
10/15/2023,1.43981681,17580.97637,308.1464667,0.558211051,1743010.092,5.183241103,26465.865,30867.41933,15930.65627,19571.40308,6.311601377,5.1,20235.878,6.564215229,0.473736571,3.6,12218.70154,4092.75184,599269.1076
10/22/2023,1.43981681,17595.00474,308.1101908,0.558211051,1742284.118,5.187408292,26465.865,30862.79252,15827.04007,19470.6961,6.311601153,5.1,20235.878,6.56674511,0.473736571,3.6,12220.76969,4092.751572,598912.433
10/29/2023,1.43981681,17609.03312,308.8859415,0.558211051,1742955.654,5.191300526,26465.865,30858.10203,15723.42549,19420.73239,6.311601349,5.1,20235.878,6.571058034,0.473736571,3.6,12244.89198,4092.7511,599015.5871
11/5/2023,1.43981681,17623.06151,309.0293364,0.558211051,1742330.866,5.194935472,26465.865,30853.3857,15619.82164,19428.60577,6.311601309,5.1,20235.878,6.573509782,0.473736571,3.6,12234.38997,4092.750647,598777.911
11/12/2023,1.43981681,17637.0899,309.0839882,0.558211051,1742914.064,5.198330456,26465.865,30848.67783,15516.22257,19401.00435,6.311601224,5.1,20235.878,6.578579597,0.473736571,3.6,12215.20708,4092.750314,598842.968
11/19/2023,1.43981681,17651.1183,308.9919751,0.558211051,1742371.805,5.201501105,26465.865,30844.00214,15412.61997,19306.41305,6.311601258,5.1,20235.878,6.581439687,0.473736571,3.6,12231.9673,4092.750121,598555.0197
11/26/2023,1.43981681,17665.14669,309.5320802,0.558211051,1742875.261,5.204462386,26465.865,30839.36898,15309.01279,19230.8996,6.311601275,5.1,20235.878,6.58585836,0.473736571,3.6,12244.24577,4092.750042,598577.917
12/3/2023,1.43981681,17679.17509,310.001015,0.558211051,1742406.648,5.207228028,26465.865,30834.77633,15205.40515,19226.37964,6.311601259,5.1,20235.878,6.588338422,0.473736571,3.6,12223.98834,4092.750036,598366.0637
12/10/2023,1.43981681,17693.20349,309.9758868,0.558211051,1742843.071,5.209811021,26465.865,30830.21336,15101.79988,19221.042,6.311601261,5.1,20235.878,6.593066429,0.473736571,3.6,12219.50245,4092.750068,598421.2543
12/17/2023,1.43981681,17707.23189,309.9768983,0.558211051,1742437.272,5.212223384,26465.865,30825.66513,14998.19612,19144.42254,6.311601268,5.1,20235.878,6.596064323,0.473736571,3.6,12240.32157,4092.750109,598191.749
12/24/2023,1.43981681,17721.26029,310.1710985,0.558211051,1742814.547,5.214476418,26465.865,30821.11706,14894.59183,19051.17194,6.311601265,5.1,20235.878,6.600558228,0.473736571,3.6,12237.21081,4092.750145,598150.6521
12/31/2023,1.43981681,17735.28869,310.8928921,0.558211051,1742463.45,5.216580626,26465.865,30816.5582,14790.98639,19024.38646,6.311601264,5.1,20235.878,6.603179815,0.473736571,3.6,12218.54747,4092.750169,597953.0906
1/7/2024,1.43981681,17749.31709,310.8852113,0.558211051,1742790.17,5.218545852,26465.865,30811.98284,14687.38065,19031.08722,6.311601265,5.1,20235.878,6.607656554,0.473736571,3.6,12228.10695,4092.750182,597998.9763
1/14/2024,1.43981681,17763.34549,310.962699,0.558211051,1742486.31,5.220381268,26465.865,30807.39049,14583.7754,18979.69387,6.311601265,5.1,20235.878,6.610689981,0.473736571,3.6,12242.44106,4092.750186,597816.6219
1/21/2024,1.43981681,17777.37389,310.9220062,0.558211051,1742768.939,5.222095453,26465.865,30802.7847,14480.17057,18880.71606,6.311601265,5.1,20235.878,6.615188403,0.473736571,3.6,12228.29195,4092.750185,597734.7889
1/28/2024,1.43981681,17791.40229,311.6457366,0.558211051,1742505.97,5.223696411,26465.865,30798.17121,14376.56571,18827.42899,6.311601265,5.1,20235.878,6.617987257,0.473736571,3.6,12219.69238,4092.750182,597545.4288
2/4/2024,1.43981681,17805.43069,311.8413157,0.558211051,1742750.62,5.225191624,26465.865,30793.5561,14272.96057,18833.16751,6.311601265,5.1,20235.878,6.622308865,0.473736571,3.6,12236.16873,4092.750179,597572.616
2/11/2024,1.43981681,17819.45909,311.8913117,0.558211051,1742523.055,5.226588074,26465.865,30788.94428,14169.35531,18807.95476,6.311601265,5.1,20235.878,6.625347125,0.473736571,3.6,12238.50049,4092.750176,597426.7547
2/18/2024,1.43981681,17833.48749,311.8198419,0.558211051,1742734.747,5.227892286,26465.865,30784.33869,14065.75015,18716.44356,6.311601265,5.1,20235.878,6.629788276,0.473736571,3.6,12222.03342,4092.750174,597329.9072
2/25/2024,1.43981681,17847.51589,312.2968944,0.558211051,1742537.801,5.229110353,26465.865,30779.74007,13962.1451,18638.99062,6.311601265,5.1,20235.878,6.632748581,0.473736571,3.6,12225.64867,4092.750173,597146.0938
3/3/2024,1.43981681,17861.54429,312.7971686,0.558211051,1742721.016,5.230247963,26465.865,30775.1474,13858.54006,18631.22626,6.311601265,5.1,20235.878,6.636985395,0.473736571,3.6,12240.00186,4092.750173,597142.1719
3/10/2024,1.43981681,17875.57269,312.7842391,0.558211051,1742550.584,5.231310432,26465.865,30770.55853,13754.93496,18626.72458,6.311601265,5.1,20235.878,6.640037681,0.473736571,3.6,12231.48911,4092.750173,597023.2344
3/17/2024,1.43981681,17889.60109,312.8026296,0.558211051,1742709.133,5.232302723,26465.865,30765.97099,13651.32982,18553.80701,6.311601265,5.1,20235.878,6.64438779,0.473736571,3.6,12220.8763,4092.750174,596932.9874
3/24/2024,1.43981681,17903.62949,312.9592892,0.558211051,1742561.635,5.233229471,26465.865,30761.3826,13547.7247,18460.40587,6.311601265,5.1,20235.878,6.647471962,0.473736571,3.6,12232.71446,4092.750174,596754.4701
3/31/2024,1.43981681,17917.65789,313.6669624,0.558211051,1742698.848,5.234095006,26465.865,30756.79195,13444.1196,18430.12284,6.311601265,5.1,20235.878,6.651661993,0.473736571,3.6,12238.59926,4092.750174,596710.5829
4/7/2024,1.43981681,17931.68629,313.6981077,0.558211051,1742571.204,5.23490337,26465.865,30752.19849,13340.51451,18435.89053,6.311601265,5.1,20235.878,6.654749982,0.473736571,3.6,12225.27774,4092.750174,596609.5802
4/14/2024,1.43981681,17945.71469,313.777095,0.558211051,1742689.948,5.23565834,26465.865,30747.60246,13236.90941,18387.93931,6.311601265,5.1,20235.878,6.659002304,0.473736571,3.6,12224.40651,4092.750174,596538.4739
4/21/2024,1.43981681,17959.74309,313.7361192,0.558211051,1742579.483,5.236363443,26465.865,30743.00462,13133.3043,18290.57168,6.311601265,5.1,20235.878,6.662172486,0.473736571,3.6,12237.36158,4092.750174,596367.4468
4/28/2024,1.43981681,17973.77149,314.4074859,0.558211051,1742682.245,5.237021972,26465.865,30738.40598,13029.69919,18234.426,6.311601265,5.1,20235.878,6.666328741,0.473736571,3.6,12233.60294,4092.750174,596282.6542
5/5/2024,1.43981681,17987.79989,314.6504772,0.558211051,1742586.648,5.237637004,26465.865,30733.80745,12926.09409,18237.69355,6.311601265,5.1,20235.878,6.669470148,0.473736571,3.6,12222.6346,4092.750174,596190.4162
5/12/2024,1.43981681,18001.82829,314.6984104,0.558211051,1742675.58,5.238211412,26465.865,30729.2097,12822.48899,18214.85126,6.311601265,5.1,20235.878,6.673635132,0.473736571,3.6,12230.08533,4092.750174,596140.2487
5/19/2024,1.43981681,18015.85669,314.6467987,0.558211051,1742592.849,5.238747879,26465.865,30724.61306,12718.88389,18126.26086,6.311601265,5.1,20235.878,6.67686359,0.473736571,3.6,12237.86068,4092.750174,595981.1927
5/26/2024,1.43981681,18029.88509,315.0663271,0.558211051,1742669.811,5.239248912,26465.865,30720.01752,12615.27878,18047.29988,6.311601265,5.1,20235.878,6.680985449,0.473736571,3.6,12228.03512,4092.750174,595863.268
6/2/2024,1.43981681,18043.91349,315.5900955,0.558211051,1742598.216,5.23971685,26465.865,30715.42279,12511.67368,18036.13796,6.311601265,5.1,20235.878,6.68418805,0.473736571,3.6,12224.13163,4092.750174,595770.2093
6/9/2024,1.43981681,18057.94189,315.5928201,0.558211051,1742664.819,5.24015388,26465.865,30710.82852,12408.06857,18032.39296,6.311601265,5.1,20235.878,6.68828276,0.473736571,3.6,12234.84118,4092.750174,595733.713
6/16/2024,1.43981681,18071.97029,315.6260215,0.558211051,1742602.86,5.240562044,26465.865,30706.23429,12304.46347,17962.95018,6.311601265,5.1,20235.878,6.691553613,0.473736571,3.6,12234.75604,4092.750174,595592.2429
6/23/2024,1.43981681,18085.99869,315.7518817,0.558211051,1742660.499,5.240943247,26465.865,30701.6398,12200.85837,17869.75378,6.311601265,5.1,20235.878,6.695636358,0.473736571,3.6,12224.61915,4092.750174,595455.2432
6/30/2024,1.43981681,18100.02709,316.4399483,0.558211051,1742606.879,5.241299271,26465.865,30697.0449,12097.25326,17835.97963,6.311601265,5.1,20235.878,6.698898797,0.473736571,3.6,12228.28816,4092.750174,595352.4068
7/7/2024,1.43981681,18114.0555,316.5099058,0.558211051,1742656.76,5.241631779,26465.865,30692.44954,11993.64816,17840.74778,6.311601265,5.1,20235.878,6.70293956,0.473736571,3.6,12236.61281,4092.750174,595317.2508
7/14/2024,1.43981681,18128.0839,316.589929,0.558211051,1742610.357,5.241942324,26465.865,30687.85381,11890.04306,17795.95119,6.311601265,5.1,20235.878,6.706245876,0.473736571,3.6,12230.18297,4092.750174,595198.0575
7/21/2024,1.43981681,18142.1123,316.5519728,0.558211051,1742653.525,5.242232357,26465.865,30683.25786,11786.43795,17700.43296,6.311601265,5.1,20235.878,6.710286232,0.473736571,3.6,12224.55601,4092.750174,595058.098
7/28/2024,1.43981681,18156.1407,317.1715411,0.558211051,1742613.367,5.242503233,26465.865,30678.66184,11682.83285,17641.54792,6.311601265,5.1,20235.878,6.713601662,0.473736571,3.6,12232.65192,4092.750174,594939.2915
8/4/2024,1.43981681,18170.1691,317.4568563,0.558211051,1742650.725,5.242756217,26465.865,30674.0659,11579.22774,17642.34613,6.311601265,5.1,20235.878,6.717600691,0.473736571,3.6,12235.1281,4092.750174,594892.698
