DATE,10-Year Real Interest Rate,Bank Credit All Commercial Banks,CPI All Urban Consumers,CPI All Items,Continued Claims (Insured Unemployment),Federal Funds Rate,GDP,Households Owners Equity in Real Estate Level,M1,M2,Median CPI,Personal Savings Rate,Real GDP,Sticky Price Consumer Price Index less Food and Energy,Sticky Price Consumer Price Index,Unemployment Rate,NASDAQ Price,S&P 500 Price
1/20/1983,5.5433895,1392.3926,97.9,0.204918033,3950000,8.47,3473.413,2474.362,486.9,1967.8,5.0146534,11.1,6896.561,4.695598354,0.5117,10.4,245.99,146.3
1/21/1983,5.5433895,1392.3926,97.9,0.204918033,3950000,8.28,3473.413,2474.362,486.9,1967.8,5.0146534,11.1,6896.561,4.695598354,0.5117,10.4,243.97,143.8
1/22/1983,5.5433895,1392.3926,97.9,0.204918033,3860000,8.28,3473.413,2474.362,486.9,1967.8,5.0146534,11.1,6896.561,4.695598354,0.5117,10.4,243.97,143.8
1/23/1983,5.5433895,1392.3926,97.9,0.204918033,3860000,8.28,3473.413,2474.362,486.9,1967.8,5.0146534,11.1,6896.561,4.695598354,0.5117,10.4,243.97,143.8
1/24/1983,5.5433895,1392.3926,97.9,0.204918033,3860000,8.53,3473.413,2474.362,472,1960.8,5.0146534,11.1,6896.561,4.695598354,0.5117,10.4,236.73,140
1/25/1983,5.5433895,1392.3926,97.9,0.204918033,3860000,8.56,3473.413,2474.362,472,1960.8,5.0146534,11.1,6896.561,4.695598354,0.5117,10.4,239.19,141.8
1/26/1983,5.5433895,1396.8702,97.9,0.204918033,3860000,8.69,3473.413,2474.362,472,1960.8,5.0146534,11.1,6896.561,4.695598354,0.5117,10.4,241.43,141.5
1/27/1983,5.5433895,1396.8702,97.9,0.204918033,3860000,8.45,3473.413,2474.362,472,1960.8,5.0146534,11.1,6896.561,4.695598354,0.5117,10.4,245.44,144.3
1/28/1983,5.5433895,1396.8702,97.9,0.204918033,3860000,8.39,3473.413,2474.362,472,1960.8,5.0146534,11.1,6896.561,4.695598354,0.5117,10.4,246.93,144.5
1/29/1983,5.5433895,1396.8702,97.9,0.204918033,3890000,8.39,3473.413,2474.362,472,1960.8,5.0146534,11.1,6896.561,4.695598354,0.5117,10.4,246.93,144.5
1/30/1983,5.5433895,1396.8702,97.9,0.204918033,3890000,8.39,3473.413,2474.362,472,1960.8,5.0146534,11.1,6896.561,4.695598354,0.5117,10.4,246.93,144.5
1/31/1983,5.5433895,1396.8702,97.9,0.204918033,3890000,8.56,3473.413,2474.362,467.5,1963.5,5.0146534,11.1,6896.561,4.695598354,0.5117,10.4,248.35,145.3
2/1/1983,5.86170487,1396.8702,98,0.102249489,3890000,8.63,3473.413,2474.362,467.5,1963.5,4.952545117,11.1,6896.561,4.62783567,0.35447,10.4,248.15,143
2/2/1983,5.86170487,1399.5273,98,0.102249489,3890000,8.9,3473.413,2474.362,467.5,1963.5,4.952545117,11.1,6896.561,4.62783567,0.35447,10.4,248.28,143.2
2/3/1983,5.86170487,1399.5273,98,0.102249489,3890000,8.54,3473.413,2474.362,467.5,1963.5,4.952545117,11.1,6896.561,4.62783567,0.35447,10.4,249.44,144.3
2/4/1983,5.86170487,1399.5273,98,0.102249489,3890000,8.46,3473.413,2474.362,467.5,1963.5,4.952545117,11.1,6896.561,4.62783567,0.35447,10.4,251.65,146.1
2/5/1983,5.86170487,1399.5273,98,0.102249489,3877000,8.46,3473.413,2474.362,467.5,1963.5,4.952545117,11.1,6896.561,4.62783567,0.35447,10.4,251.65,146.1
2/6/1983,5.86170487,1399.5273,98,0.102249489,3877000,8.46,3473.413,2474.362,467.5,1963.5,4.952545117,11.1,6896.561,4.62783567,0.35447,10.4,251.65,146.1
2/7/1983,5.86170487,1399.5273,98,0.102249489,3877000,8.56,3473.413,2474.362,477.9,1983.4,4.952545117,11.1,6896.561,4.62783567,0.35447,10.4,252.02,146.9
2/8/1983,5.86170487,1399.5273,98,0.102249489,3877000,8.44,3473.413,2474.362,477.9,1983.4,4.952545117,11.1,6896.561,4.62783567,0.35447,10.4,251.1,145.7
2/9/1983,5.86170487,1398.6385,98,0.102249489,3877000,8.58,3473.413,2474.362,477.9,1983.4,4.952545117,11.1,6896.561,4.62783567,0.35447,10.4,251.38,145
2/10/1983,5.86170487,1398.6385,98,0.102249489,3877000,8.64,3473.413,2474.362,477.9,1983.4,4.952545117,11.1,6896.561,4.62783567,0.35447,10.4,254.77,147.5
2/11/1983,5.86170487,1398.6385,98,0.102249489,3877000,8.53,3473.413,2474.362,477.9,1983.4,4.952545117,11.1,6896.561,4.62783567,0.35447,10.4,256.64,147.6
