DATE,10-Year Real Interest Rate,Bank Credit All Commercial Banks,CPI All Urban Consumers,CPI All Items,Continued Claims (Insured Unemployment),Federal Funds Rate,GDP,Households Owners Equity in Real Estate Level,M1,M2,Median CPI,Personal Savings Rate,Real GDP,Sticky Price Consumer Price Index less Food and Energy,Sticky Price Consumer Price Index,Unemployment Rate,NASDAQ Price,S&P 500 Price,Economic Health Index
7/2/2023,1.44503696,17120.57825,304.1555112,0.536244775,1450542.526,4.90233043,26703.17353,31101.70538,18890.70049,20596.24371,4.926282715,5.088829392,20283.91403,6.416936351,0.383837692,3.586309603,12209.07682,4088.580421,519184.962
7/9/2023,1.441428209,17108.14274,304.3212926,0.523285321,1501830.759,4.921600205,26713.14126,31113.55583,18889.07001,20579.52257,4.929539032,5.083480835,20280.0446,6.418035554,0.385368352,3.584203692,12198.13494,4088.976214,533676.4142
7/16/2023,1.439816822,17097.41454,304.464217,0.559264967,1474194.489,4.902858824,26722.71443,31125.70837,18883.61805,20559.58293,4.907054528,5.1,20273.42296,6.417906494,0.383313675,3.599981729,12225.19404,4099.886246,525853.0119
7/23/2023,1.437243164,17085.13865,304.6222195,0.521570056,1469996.675,4.932784955,26749.30601,31128.92742,18880.21978,20552.80474,4.928852409,5.089766268,20291.06003,6.417366445,0.385450832,3.589918267,12220.32693,4096.613036,524658.2311
7/30/2023,1.44503696,17075.36147,304.7741748,0.536244775,1373250.745,4.906002153,26761.85827,31134.6853,18891.62347,20535.54235,4.926282715,5.088829392,20292.59764,6.411760249,0.383837692,3.586309602,12212.53592,4088.697571,497242.8785
8/6/2023,1.441428209,17063.38899,304.9359646,0.523285321,1425311.896,4.924537583,26771.19299,31146.20313,18889.98377,20519.44933,4.929539032,5.083480835,20288.63643,6.413143228,0.385368352,3.584203691,12201.49261,4089.092192,511953.7249
8/13/2023,1.439816822,17053.11909,305.0749231,0.559264967,1398440.815,4.905208726,26780.13998,31158.0264,18884.52268,20500.13131,4.907054528,5.1,20281.92399,6.413282386,0.383313675,3.599981728,12228.45326,4100.001065,504347.5242
8/20/2023,1.437243164,17041.2968,305.2289855,0.521570056,1395000.537,4.934664877,26806.11213,31160.9195,18881.11535,20493.9683,4.928852409,5.089766268,20299.47121,6.41299585,0.385450832,3.589918267,12223.49059,4096.726707,503367.7743
8/27/2023,1.44503696,17031.96857,305.3770259,0.536244775,1299004.569,4.90750609,26818.05165,31166.35472,18892.51009,20477.31474,4.926282715,5.088829392,20300.91992,6.407629269,0.383837692,3.586309601,12215.60682,4088.810105,476165.3035
9/3/2023,1.441428209,17020.44044,305.5349262,0.523285321,1351808.182,4.925740732,26826.78022,31177.55315,18890.86152,20461.82424,4.929539032,5.083480835,20296.87076,6.409238726,0.385368352,3.584203691,12204.47347,4089.203601,491086.9041
9/10/2023,1.439816822,17010.61034,305.6700203,0.559264967,1325672.137,4.906171246,26835.12762,31189.06023,18885.39165,20443.10251,4.907054528,5.1,20290.07128,6.409591945,0.383313675,3.599981728,12231.34672,4100.111359,483689.3512
9/17/2023,1.437243164,16999.22336,305.8202432,0.521570056,1322959.547,4.935434893,26860.50663,31191.64033,18881.97564,20437.52962,4.928852409,5.089766268,20307.5324,6.409507735,0.385450832,3.589918266,12226.29921,4096.835898,482916.1636
9/24/2023,1.44503696,16990.32597,305.9644688,0.536244775,1227683.989,4.908122103,26871.85941,31196.76572,18893.36178,20421.46006,4.926282715,5.088829392,20308.89591,6.404332386,0.383837692,3.586309601,12218.33309,4088.918204,455918.1907
10/1/2023,1.441428209,16979.22428,306.118579,0.523285321,1281200.807,4.926233543,26880.00759,31207.65743,18891.70469,20406.54753,4.929539032,5.083480835,20304.76245,6.406122593,0.385368352,3.58420369,12207.11981,4089.310619,471042.245
10/8/2023,1.439816822,16969.81625,306.2499074,0.559264967,1255770.836,4.906565494,26887.78084,31218.86089,18886.22639,20388.39779,4.907054528,5.1,20297.87957,6.406646651,0.383313675,3.599981727,12233.91546,4100.217308,463845.1224
