DATE,10-Year Real Interest Rate,Bank Credit All Commercial Banks,CPI All Urban Consumers,CPI All Items,Continued Claims (Insured Unemployment),Federal Funds Rate,GDP,Households Owners Equity in Real Estate Level,M1,M2,Median CPI,Personal Savings Rate,Real GDP,Sticky Price Consumer Price Index less Food and Energy,Sticky Price Consumer Price Index,Unemployment Rate,NASDAQ Price,S&P 500 Price,Economic Health Index
6/4/1983,5.80955824,1449.6867,99.4,0.302419355,3548000,8.77,3578.848,2494.423,488.6,2031,2.441297751,9.1,7053.5,2.843739681,0.29006,10.1,313.85,164.4,1017854.014
6/11/1983,5.80955824,1452.646,99.4,0.302419355,3453000,8.75,3578.848,2494.423,507.3,2055.1,2.441297751,9.1,7053.5,2.843739681,0.29006,10.1,315.24,162.7,990993.6943
6/18/1983,5.80955824,1456.4468,99.4,0.302419355,3452000,9.02,3578.848,2494.423,509.4,2059.9,2.441297751,9.1,7053.5,2.843739681,0.29006,10.1,326.11,169.1,990733.8591
6/25/1983,5.80955824,1456.9079,99.4,0.302419355,3369000,9.01,3578.848,2494.423,505.3,2052.4,2.441297751,9.1,7053.5,2.843739681,0.29006,10.1,328.91,170.4,967227.89
7/2/1983,5.8185791,1459.3899,99.8,0.40201005,3239000,9.31,3689.179,2507.058,494,2040.1,3.69758219,9.6,7194.504,2.630755198,0.32384,9.4,321.58,168.9,930549.5793
7/9/1983,5.8185791,1463.7808,99.8,0.40201005,3226000,9.14,3689.179,2507.058,510.2,2064.4,3.69758219,9.6,7194.504,2.630755198,0.32384,9.4,319.57,167.1,926903.1826
7/16/1983,5.8185791,1462.7297,99.8,0.40201005,3216000,9.39,3689.179,2507.058,519.9,2078,3.69758219,9.6,7194.504,2.630755198,0.32384,9.4,312.87,164.3,924082.6671
7/23/1983,5.8185791,1468.3315,99.8,0.40201005,3155000,9.48,3689.179,2507.058,511.7,2071.1,3.69758219,9.6,7194.504,2.630755198,0.32384,9.4,320.71,168.9,906815.0262
7/30/1983,5.8185791,1470.1174,99.8,0.40201005,3112000,9.52,3689.179,2507.058,502.1,2062,3.69758219,9.6,7194.504,2.630755198,0.32384,9.4,303.96,162.6,894609.3405
8/6/1983,6.26942178,1473.1312,100.1,0.3003003,3106000,9.63,3689.179,2507.058,505.4,2065.8,4.896990368,9.2,7194.504,2.553400975,0.3227,9.5,300.2,161.7,892916.34
8/13/1983,6.26942178,1474.6796,100.1,0.3003003,3107000,9.67,3689.179,2507.058,513.9,2077.4,4.896990368,9.2,7194.504,2.553400975,0.3227,9.5,299.58,162.2,893217.3256
8/20/1983,6.26942178,1478.8076,100.1,0.3003003,3131000,9.47,3689.179,2507.058,513,2077.7,4.896990368,9.2,7194.504,2.553400975,0.3227,9.5,299.1,164,900017.1179
8/27/1983,6.26942178,1482.8445,100.1,0.3003003,3079000,9.43,3689.179,2507.058,506.1,2070.8,4.896990368,9.2,7194.504,2.553400975,0.3227,9.5,290.31,162.1,885278.8874
9/3/1983,6.35502485,1485.0276,100.4,0.499001996,3055000,9.52,3689.179,2507.058,499.7,2063.9,4.837827872,9.6,7194.504,2.944004571,0.34062,9.2,297.85,165,878483.9803
9/10/1983,6.35502485,1486.9481,100.4,0.499001996,3007000,9.6,3689.179,2507.058,513.3,2080.6,4.837827872,9.6,7194.504,2.944004571,0.34062,9.2,302.23,166.9,864924.9673
9/17/1983,6.35502485,1488.2242,100.4,0.499001996,2993000,9.59,3689.179,2507.058,519.5,2088.4,4.837827872,9.6,7194.504,2.944004571,0.34062,9.2,298.27,166.2,860970.0931
9/24/1983,6.35502485,1493.1248,100.4,0.499001996,2973000,9.08,3689.179,2507.058,513.5,2082.5,4.837827872,9.6,7194.504,2.944004571,0.34062,9.2,303.61,169.5,855309.0989
10/1/1983,6.03269333,1493.6567,100.8,0.297914598,2926000,10.59,3794.706,2523.858,501.1,2070.7,4.709706722,9.7,7344.597,3.09331236,0.43818,8.8,296.65,166.1,842140.8597
10/8/1983,6.03269333,1499.6835,100.8,0.297914598,2929000,9.38,3794.706,2523.858,510.9,2087,4.709706722,9.7,7344.597,3.09331236,0.43818,8.8,297.36,170.8,843021.0637
10/15/1983,6.03269333,1504.3779,100.8,0.297914598,2913000,9.31,3794.706,2523.858,523.4,2106,4.709706722,9.7,7344.597,3.09331236,0.43818,8.8,289.65,169.9,838514.6985
10/22/1983,6.03269333,1505.9308,100.8,0.297914598,2886000,9.36,3794.706,2523.858,522.3,2107.1,4.709706722,9.7,7344.597,3.09331236,0.43818,8.8,279.49,165.9,830860.9145
10/29/1983,6.03269333,1513.2891,100.8,0.297914598,2860000,9.31,3794.706,2523.858,511.9,2098.5,4.709706722,9.7,7344.597,3.09331236,0.43818,8.8,276.14,163.4,823487.0531
11/5/1983,6.14393792,1514.217,101.1,0.198019802,2750000,9.32,3794.706,2523.858,509.8,2097.9,4.882071736,10.3,7344.597,3.751793567,0.43721,8.5,273.17,162.4,792339.2399
11/12/1983,6.14393792,1520.8426,101.1,0.198019802,2789000,9.38,3794.706,2523.858,523.5,2117,4.882071736,10.3,7344.597,3.751793567,0.43721,8.5,277.13,166.3,803420.8652
11/19/1983,6.14393792,1522.9934,101.1,0.198019802,2879000,9.23,3794.706,2523.858,526.1,2122.4,4.882071736,10.3,7344.597,3.751793567,0.43721,8.5,281.28,165.1,828913.5837
11/26/1983,6.14393792,1524.8604,101.1,0.198019802,2733000,9.24,3794.706,2523.858,520.8,2117.3,4.882071736,10.3,7344.597,3.751793567,0.43721,8.5,285.49,167.2,787574.8068
12/3/1983,6.14842454,1525.5672,101.4,0.098814229,2737000,9.51,3794.706,2523.858,517.6,2114.5,3.626765694,10.1,7344.597,4.465480085,0.29367,8.3,283.91,165.4,788701.2521
12/10/1983,6.14842454,1531.3727,101.4,0.098814229,2666000,9.43,3794.706,2523.858,529.4,2128.8,3.626765694,10.1,7344.597,4.465480085,0.29367,8.3,280.51,165.1,768622.675
12/17/1983,6.14842454,1534.4067,101.4,0.098814229,2796000,9.73,3794.706,2523.858,533,2134,3.626765694,10.1,7344.597,4.465480085,0.29367,8.3,276.01,162.4,805434.5823
12/24/1983,6.14842454,1534.4924,101.4,0.098814229,2718000,8.66,3794.706,2523.858,533.2,2132.8,3.626765694,10.1,7344.597,4.465480085,0.29367,8.3,276.54,163.2,783349.5502
12/31/1983,6.14842454,1533.5048,101.4,0.098814229,2644000,9.92,3794.706,2523.858,529.4,2128.3,3.626765694,10.1,7344.597,4.465480085,0.29367,8.3,278.6,164.9,762394.1737
1/7/1984,6.21530449,1535.5814,102.1,0.592300099,2588000,9.43,3908.054,2675.833,541.3,2147.5,4.852490457,10,7488.167,4.485762548,0.5582,8,287.9,169.3,746852.978
1/14/1984,6.21530449,1538.4639,102.1,0.592300099,2522000,9.4,3908.054,2675.833,551,2164.1,4.852490457,10,7488.167,4.485762548,0.5582,8,286.85,167,728188.1083
1/21/1984,6.21530449,1538.1949,102.1,0.592300099,2531000,9.48,3908.054,2675.833,536.8,2153.2,4.852490457,10,7488.167,4.485762548,0.5582,8,284.41,166.2,730714.0201
1/28/1984,6.21530449,1540.6374,102.1,0.592300099,2556000,9.31,3908.054,2675.833,520.5,2137.4,4.852490457,10,7488.167,4.485762548,0.5582,8,273.18,163.9,737758.6158
2/4/1984,6.1010181,1546.2331,102.6,0.490677134,2531000,9.51,3908.054,2675.833,508.8,2122.5,4.632377429,11.7,7488.167,4.524563869,0.39848,7.8,264.01,160.9,730655.6516
2/11/1984,6.1010181,1551.4433,102.6,0.490677134,2453000,9.44,3908.054,2675.833,522.1,2147.7,4.632377429,11.7,7488.167,4.524563869,0.39848,7.8,254.04,156.3,708597.0561
2/18/1984,6.1010181,1561.9858,102.6,0.490677134,2425000,9.56,3908.054,2675.833,519.4,2149.2,4.632377429,11.7,7488.167,4.524563869,0.39848,7.8,251.33,155.7,700676.6787
2/25/1984,6.1010181,1561.1439,102.6,0.490677134,2469000,9.63,3908.054,2675.833,516,2148,4.632377429,11.7,7488.167,4.524563869,0.39848,7.8,251.44,157.5,713131.9168
3/3/1984,6.46257937,1567.1403,102.9,0.1953125,2441000,9.75,3908.054,2675.833,510.3,2143.7,3.923226163,11.5,7488.167,4.65415841,0.33009,7.8,255.54,159.2,705207.3807
3/10/1984,6.46257937,1568.5382,102.9,0.1953125,2431000,9.73,3908.054,2675.833,523.7,2162.4,3.923226163,11.5,7488.167,4.65415841,0.33009,7.8,249.01,154.3,702394.5764
3/17/1984,6.46257937,1574.6253,102.9,0.1953125,2426000,9.84,3908.054,2675.833,525.9,2169.1,3.923226163,11.5,7488.167,4.65415841,0.33009,7.8,253.37,159.3,700999.9955
3/24/1984,6.46257937,1575.6897,102.9,0.1953125,2412000,10.28,3908.054,2675.833,524,2169,3.923226163,11.5,7488.167,4.65415841,0.33009,7.8,249.98,156.9,697031.6191
3/31/1984,6.46257937,1576.6937,102.9,0.1953125,2412000,10.24,3908.054,2675.833,517.2,2164.5,3.923226163,11.5,7488.167,4.65415841,0.33009,7.8,250.78,159.2,697026.3598
4/7/1984,6.62874874,1586.2912,103.3,0.487329435,2425000,10.37,4009.601,2779.138,527.6,2183.3,4.47375382,11.5,7617.547,4.646319003,0.48947,7.7,243.94,155.5,700952.0433
4/14/1984,6.62874874,1584.3952,103.3,0.487329435,2396000,10.24,4009.601,2779.138,544.7,2204.6,4.47375382,11.5,7617.547,4.646319003,0.48947,7.7,244.01,157.3,692771.8841
4/21/1984,6.62874874,1593.242,103.3,0.487329435,2433000,9.77,4009.601,2779.138,546.9,2204.7,4.47375382,11.5,7617.547,4.646319003,0.48947,7.7,245.51,158,703259.2317
4/28/1984,6.62874874,1598.0424,103.3,0.487329435,2435000,10.49,4009.601,2779.138,538.7,2193,4.47375382,11.5,7617.547,4.646319003,0.48947,7.7,246.9,159.9,703817.119
5/5/1984,6.85146491,1599.4862,103.5,0.290979631,2430000,10.04,4009.601,2779.138,525.8,2177.4,3.397504804,11.1,7617.547,4.708074066,0.30699,7.4,250.89,159.1,702381.8155
5/12/1984,6.85146491,1604.8112,103.5,0.290979631,2386000,10.58,4009.601,2779.138,535.4,2190.1,3.397504804,11.1,7617.547,4.708074066,0.30699,7.4,250.57,158.5,689947.0111
5/19/1984,6.85146491,1605.6007,103.5,0.290979631,2401000,9.01,4009.601,2779.138,534.5,2193.9,3.397504804,11.1,7617.547,4.708074066,0.30699,7.4,244.61,155.8,694189.5429
5/26/1984,6.85146491,1610.869,103.5,0.290979631,2323000,10.04,4009.601,2779.138,530.9,2193.1,3.397504804,11.1,7617.547,4.708074066,0.30699,7.4,235.23,151.6,672097.4568
6/2/1984,7.34576833,1613.9166,103.7,0.290135397,2379000,10.53,4009.601,2779.138,521,2185.2,4.540476405,11.1,7617.547,4.787485493,0.3598,7.2,235.9,153.2,687944.8277
6/9/1984,7.34576833,1617.8633,103.7,0.290135397,2391000,10.76,4009.601,2779.138,542.4,2211.2,4.540476405,11.1,7617.547,4.787485493,0.3598,7.2,240.35,155.2,691389.758
6/16/1984,7.34576833,1617.7083,103.7,0.290135397,2364000,11.33,4009.601,2779.138,548.1,2221.1,4.540476405,11.1,7617.547,4.787485493,0.3598,7.2,235.64,149,683749.7495
6/23/1984,7.34576833,1622.1593,103.7,0.290135397,2339000,11.51,4009.601,2779.138,544,2216.7,4.540476405,11.1,7617.547,4.787485493,0.3598,7.2,241.11,154.5,676677.8207
6/30/1984,7.34576833,1625.8716,103.7,0.290135397,2329000,10.85,4009.601,2779.138,531.3,2202.7,4.540476405,11.1,7617.547,4.787485493,0.3598,7.2,239.65,153.2,673825.9415
7/7/1984,7.44614428,1629.0122,104.1,0.385728062,2375000,11.13,4084.25,2875.316,541.2,2219.2,4.709706722,11.6,7690.985,4.897092721,0.44509,7.5,236.72,152.2,687029.8948
7/14/1984,7.44614428,1633.393,104.1,0.385728062,2371000,11,4084.25,2875.316,553.9,2236.7,4.709706722,11.6,7690.985,4.897092721,0.44509,7.5,234.67,150.9,685923.4901
7/21/1984,7.44614428,1631.1221,104.1,0.385728062,2337000,11.09,4084.25,2875.316,549.4,2234.5,4.709706722,11.6,7690.985,4.897092721,0.44509,7.5,229.37,149.6,676284.722
7/28/1984,7.44614428,1638.459,104.1,0.385728062,2329000,11.33,4084.25,2875.316,537.3,2222.9,4.709706722,11.6,7690.985,4.897092721,0.44509,7.5,229.3,151.2,674009.4486
8/4/1984,6.87114867,1637.5313,104.4,0.384245917,2332000,11.5,4084.25,2875.316,530.5,2216.3,4.691308114,11.8,7690.985,5.032939607,0.4373,7.5,246.24,162.3,674869.4772
8/11/1984,6.87114867,1639.407,104.4,0.384245917,2390000,11.57,4084.25,2875.316,544.8,2233.4,4.691308114,11.8,7690.985,5.032939607,0.4373,7.5,252.43,165.4,691325.6189
8/18/1984,6.87114867,1642.7117,104.4,0.384245917,2416000,11.77,4084.25,2875.316,544.3,2233.3,4.691308114,11.8,7690.985,5.032939607,0.4373,7.5,250.37,164.1,698687.3539
8/25/1984,6.87114867,1644.6731,104.4,0.384245917,2405000,11.53,4084.25,2875.316,540,2229.7,4.691308114,11.8,7690.985,5.032939607,0.4373,7.5,254.78,167.5,695574.5631
9/1/1984,6.97565415,1645.8431,104.7,0.4784689,2410000,11.64,4084.25,2875.316,529.6,2220,4.47687654,11.8,7690.985,5.140612141,0.38239,7.3,254.64,166.7,696975.0825
9/8/1984,6.97565415,1647.3261,104.7,0.4784689,2435000,11.56,4084.25,2875.316,539.2,2232.7,4.47687654,11.8,7690.985,5.140612141,0.38239,7.3,251.68,164.4,704068.7276
9/15/1984,6.97565415,1654.9004,104.7,0.4784689,2434000,11.38,4084.25,2875.316,553.8,2251.9,4.47687654,11.8,7690.985,5.140612141,0.38239,7.3,255.6,168.8,703826.8652
9/22/1984,6.97565415,1657.8551,104.7,0.4784689,2421000,10.89,4084.25,2875.316,547.6,2247.6,4.47687654,11.8,7690.985,5.140612141,0.38239,7.3,252.68,165.7,700135.6879
9/29/1984,6.97565415,1659.0939,104.7,0.4784689,2474000,11.23,4084.25,2875.316,532.5,2232.2,4.47687654,11.8,7690.985,5.140612141,0.38239,7.3,249.94,166.1,715117.1149
10/6/1984,6.60885326,1656.4697,105.1,0.285714286,2455000,10.21,4148.551,2966.659,536.5,2243.1,3.496534119,11.7,7754.117,5.103857709,0.39135,7.4,245.46,162.7,709883.1142
10/13/1984,6.60885326,1664.0927,105.1,0.285714286,2538000,10.02,4148.551,2966.659,548.2,2261.7,3.496534119,11.7,7754.117,5.103857709,0.39135,7.4,246.11,164.2,733416.9972
10/20/1984,6.60885326,1664.2809,105.1,0.285714286,2529000,9.83,4148.551,2966.659,549.7,2266.7,3.496534119,11.7,7754.117,5.103857709,0.39135,7.4,251.18,168,730881.433
10/27/1984,6.60885326,1667.2263,105.1,0.285714286,2574000,9.59,4148.551,2966.659,538.3,2256.7,3.496534119,11.7,7754.117,5.103857709,0.39135,7.4,247.38,165.3,743603.0449
11/3/1984,6.06648144,1677.3993,105.3,0,2578000,10.15,4148.551,2966.659,532.4,2252.7,2.60802525,10.9,7754.117,4.968986894,0.32457,7.2,247.92,167.4,744739.6061
11/10/1984,6.06648144,1679.0543,105.3,0,2545000,9.5,4148.551,2966.659,549.1,2276.3,2.60802525,10.9,7754.117,4.968986894,0.32457,7.2,249.5,167.6,735431.5871
11/17/1984,6.06648144,1683.1042,105.3,0,2645000,9.54,4148.551,2966.659,551.4,2285.4,2.60802525,10.9,7754.117,4.968986894,0.32457,7.2,245.12,164.1,763752.436
11/24/1984,6.06648144,1683.3593,105.3,0,2569000,8.97,4148.551,2966.659,553.1,2290.2,2.60802525,10.9,7754.117,4.968986894,0.32457,7.2,245.45,166.9,742242.2829
12/1/1984,6.07562511,1679.5113,105.5,0,2529000,8.92,4148.551,2966.659,545.6,2285.6,3.520313904,11.2,7754.117,5.052939222,0.39592,7.3,242.53,163.6,730899.523
12/8/1984,6.07562511,1689.6434,105.5,0,2589000,8.62,4148.551,2966.659,549.8,2295.4,3.520313904,11.2,7754.117,5.052939222,0.39592,7.3,238.94,162.3,747905.033
12/15/1984,6.07562511,1693.0082,105.5,0,2594000,8.26,4148.551,2966.659,561.4,2312.6,3.520313904,11.2,7754.117,5.052939222,0.39592,7.3,239.04,162.7,749347.6631
12/22/1984,6.07562511,1698.3171,105.5,0,2487000,8.06,4148.551,2966.659,561.9,2315.1,3.520313904,11.2,7754.117,5.052939222,0.39592,7.3,244.28,165.5,719066.4404
12/29/1984,6.07562511,1700.3957,105.5,0,2536000,8.62,4148.551,2966.659,565,2319.1,3.520313904,11.2,7754.117,5.052939222,0.39592,7.3,246.08,166.3,732950.1934
1/5/1985,6.16190057,1695.7083,105.7,0.189933523,2593000,8.18,4230.168,3044.106,572.6,2332.2,3.074902723,10.3,7829.26,4.726710471,0.239,7.3,246.19,163.7,749240.9464
1/12/1985,6.16190057,1700.6569,105.7,0.189933523,2543000,8.24,4230.168,3044.106,582.9,2353,3.074902723,10.3,7829.26,4.726710471,0.239,7.3,252.16,167.9,735123.2471
1/19/1985,6.16190057,1700.3702,105.7,0.189933523,2472000,8.1,4230.168,3044.106,568.6,2348,3.074902723,10.3,7829.26,4.726710471,0.239,7.3,263.05,171.3,715017.3589
1/26/1985,6.16190057,1706.4015,105.7,0.189933523,2601000,8.37,4230.168,3044.106,558.3,2339.5,3.074902723,10.3,7829.26,4.726710471,0.239,7.3,274,177.3,751546.0207
2/2/1985,6.01581783,1708.0116,106.3,0.473933649,2632000,8.74,4230.168,3044.106,542.6,2324,5.603397506,9.1,7829.26,4.871701461,0.53406,7.2,278.43,178.6,760305.1216
2/9/1985,6.01581783,1713.461,106.3,0.473933649,2608000,8.49,4230.168,3044.106,553.3,2338.5,5.603397506,9.1,7829.26,4.871701461,0.53406,7.2,288.35,182.2,753546.0641
2/16/1985,6.01581783,1715.5888,106.3,0.473933649,2613000,8.53,4230.168,3044.106,554.6,2344.9,5.603397506,9.1,7829.26,4.871701461,0.53406,7.2,287.72,181.6,754969.6013
2/23/1985,6.01581783,1724.8985,106.3,0.473933649,2641000,8.5,4230.168,3044.106,552.1,2344.1,5.603397506,9.1,7829.26,4.871701461,0.53406,7.2,286.18,179.4,762900.8851
3/2/1985,6.38383581,1728.8097,106.8,0.377358491,2571000,8.74,4230.168,3044.106,546.2,2339.1,4.714338131,8.7,7829.26,4.962072036,0.40295,7.2,287.16,183.2,743081.5485
3/9/1985,6.38383581,1732.7547,106.8,0.377358491,2591000,8.42,4230.168,3044.106,557.1,2354.5,4.714338131,8.7,7829.26,4.962072036,0.40295,7.2,282.37,179.1,748762.1894
3/16/1985,6.38383581,1734.6884,106.8,0.377358491,2578000,8.81,4230.168,3044.106,561.8,2362.8,4.714338131,8.7,7829.26,4.962072036,0.40295,7.2,277.97,176.5,745088.9698
3/23/1985,6.38383581,1736.4462,106.8,0.377358491,2556000,8.61,4230.168,3044.106,558.1,2359.2,4.714338131,8.7,7829.26,4.962072036,0.40295,7.2,278.91,179,738858.5826
3/30/1985,6.38383581,1737.7889,106.8,0.377358491,2526000,8.58,4230.168,3044.106,551.8,2353.8,4.714338131,8.7,7829.26,4.962072036,0.40295,7.2,279.2,180.7,730358.3226
4/6/1985,6.19138804,1737.2099,107,0.469924812,2569000,8.14,4294.887,3167.252,561,2368.1,4.493616325,9.9,7898.194,4.754134291,0.31872,7.3,277.44,179,742724.8368
4/13/1985,6.19138804,1734.2792,107,0.469924812,2600000,8.49,4294.887,3167.252,579.3,2389.7,4.493616325,9.9,7898.194,4.754134291,0.31872,7.3,280.63,180.5,751535.2155
4/20/1985,6.19138804,1733.9516,107,0.469924812,2584000,7.6,4294.887,3167.252,582.2,2389.8,4.493616325,9.9,7898.194,4.754134291,0.31872,7.3,282.81,181.1,747008.2243
4/27/1985,6.19138804,1738.6909,107,0.469924812,2562000,8.14,4294.887,3167.252,578.3,2380.9,4.493616325,9.9,7898.194,4.754134291,0.31872,7.3,284.14,182.2,740775.4873
5/4/1985,5.93748656,1739.6495,107.2,0.374181478,2582000,8.28,4294.887,3167.252,561.4,2359.3,3.30709307,11.1,7898.194,5.037120921,0.54152,7.2,280.31,180.1,746403.7063
5/11/1985,5.93748656,1745.7307,107.2,0.374181478,2569000,8.18,4294.887,3167.252,571.3,2371.6,3.30709307,11.1,7898.194,5.037120921,0.54152,7.2,287.46,184.3,742755.67
5/18/1985,5.93748656,1753.8812,107.2,0.374181478,2547000,8,4294.887,3167.252,570.9,2375.5,3.30709307,11.1,7898.194,5.037120921,0.54152,7.2,291.7,187.4,736543.6118
5/25/1985,5.93748656,1756.5915,107.2,0.374181478,2545000,7.46,4294.887,3167.252,571.1,2378.7,3.30709307,11.1,7898.194,5.037120921,0.54152,7.2,292.14,188.3,735983.6687
6/1/1985,5.1560053,1757.4661,107.5,0.279589935,2591000,7.64,4294.887,3167.252,562.4,2372.8,4.937368526,9.6,7898.194,5.05654234,0.39651,7.4,290.8,189.6,748996.9782
6/8/1985,5.1560053,1762.1754,107.5,0.279589935,2564000,7.6,4294.887,3167.252,577.2,2393.6,4.937368526,9.6,7898.194,5.05654234,0.39651,7.4,291.03,189.7,741386.2682
6/15/1985,5.1560053,1765.9738,107.5,0.279589935,2549000,7.27,4294.887,3167.252,591.7,2416.7,4.937368526,9.6,7898.194,5.05654234,0.39651,7.4,287.95,187.1,737169.1758
6/22/1985,5.1560053,1772.6433,107.5,0.279589935,2550000,7.41,4294.887,3167.252,588.7,2416.9,4.937368526,9.6,7898.194,5.05654234,0.39651,7.4,288.11,189.6,737459.2436
6/29/1985,5.1560053,1775.0666,107.5,0.279589935,2505000,7.95,4294.887,3167.252,577.6,2407.5,4.937368526,9.6,7898.194,5.05654234,0.39651,7.4,296.2,191.8,724712.9772
7/6/1985,5.33392835,1779.8287,107.7,0.185873606,2609000,8.05,4386.773,3280.839,585.7,2421.1,2.431483442,9.1,8018.809,4.948295318,0.32311,7.4,298.58,192.5,754402.7418
7/13/1985,5.33392835,1780.3346,107.7,0.185873606,2519000,7.67,4386.773,3280.839,602.6,2443.4,2.431483442,9.1,8018.809,4.948295318,0.32311,7.4,302.39,193.3,728956.4435
7/20/1985,5.33392835,1782.2786,107.7,0.185873606,2520000,7.91,4386.773,3280.839,596.5,2440.8,2.431483442,9.1,8018.809,4.948295318,0.32311,7.4,307.76,195.1,729240.7452
7/27/1985,5.33392835,1782.5566,107.7,0.185873606,2522000,7.41,4386.773,3280.839,588.1,2431.6,2.431483442,9.1,8018.809,4.948295318,0.32311,7.4,304.62,192.4,729788.1276
8/3/1985,5.59011814,1785.9164,107.9,0.185528757,2518000,7.94,4386.773,3280.839,580.1,2422.9,3.459635635,8.2,8018.809,4.94547442,0.44031,7.1,304.53,191.5,728645.2373
8/10/1985,5.59011814,1784.5438,107.9,0.185528757,2565000,7.61,4386.773,3280.839,597.9,2443.2,3.459635635,8.2,8018.809,4.94547442,0.44031,7.1,299.14,188.3,741974.7153
